COURSE,215,
LAB,Filters,
DATE,_12/1/2017,
,,
NAMES,Matthew Remillard,Rishabh Shah
UNIQs,mremillar,rishabas
GSI,,
,,
Frequency,Gain(dB)
10.000000,-1.583625
12.742750,-1.376915
16.237767,-1.458646
20.691381,-1.451013
26.366509,-1.561093
33.598183,-1.605642
42.813324,-1.735064
54.555948,-1.893997
69.519280,-2.142793
88.586679,-2.487155
112.883789,-2.964522
143.844989,-3.574308
183.298071,-4.489458
233.572147,-5.545472
297.635144,-6.824070
379.269019,-8.253872
483.293024,-9.560170
615.848211,-11.592127
784.759970,-13.226608
1000.000000,-15.042756
