COURSE,215,
LAB,Filters,
DATE,_12/1/2017,
,,
NAMES,Matthew Remillard,Rishabh Shah
UNIQs,mremillar,rishabas
GSI,,
,,
Frequency,Gain(dB)
10.000000,-0.439218
11.937766,-0.584592
14.251027,-0.807320
17.012543,-1.044663
20.309176,-1.275218
24.244620,-1.774066
28.942661,-2.394751
34.551073,-3.163065
41.246264,-3.935946
49.238826,-4.829795
58.780161,-6.020600
70.170383,-7.236330
83.767764,-8.554900
100.000000,-9.814732
119.377664,-11.054265
142.510267,-12.518769
170.125428,-14.385184
203.091762,-15.890833
242.446202,-17.609126
289.426612,-19.492523
345.510729,-21.405264
412.462638,-23.503823
492.388263,-25.948815
587.801607,-28.773260
701.703829,-30.926529
837.677640,-30.676559
1000.000000,-28.224109
1193.776642,-25.601922
1425.102670,-23.082607
1701.254280,-20.831459
2030.917621,-18.925472
2424.462017,-17.010763
2894.266125,-15.422360
3455.107295,-13.732725
4124.626383,-11.934623
4923.882632,-10.576562
5878.016072,-9.143999
7017.038287,-7.826860
8376.776401,-6.607212
10000.000000,-5.471111
