COURSE,215,
LAB,Filters,
DATE,_12/31/1903,
,,
NAMES,Matthew Remillard,Rishabh Shah
UNIQs,mremilla,rishabas
GSI,,
,,
Frequency,Gain(dB)
10.000000,13.515567
12.742750,13.304606
16.237767,12.829482
20.691381,12.427303
26.366509,11.641267
33.598183,10.781522
42.813324,9.455129
54.555948,8.285959
69.519280,6.567592
88.586679,5.144357
112.883789,3.493111
143.844989,1.598235
183.298071,0.173724
233.572147,-1.122319
297.635144,-3.223018
379.269019,-3.349822
483.293024,-6.020600
615.848211,-7.744323
784.759970,-6.793588
1000.000000,-9.421666
