COURSE,215,
LAB,Filters,
DATE,_12/31/1903,
,,
NAMES,Matthew Remillard,Rishabh Shah
UNIQs,mremilla,rishabas
GSI,,
,,
Frequency,Gain(dB)
10.000000,-10.795953
12.742750,-8.977560
16.237767,-6.848454
20.691381,-5.386799
26.366509,-4.117353
33.598183,-2.964522
42.813324,-2.142793
54.555948,-1.380396
69.519280,-1.054127
88.586679,-0.739671
112.883789,-0.586612
143.844989,-0.361964
183.298071,-0.290768
233.572147,-0.144167
297.635144,-0.144167
379.269019,-0.142981
483.293024,-0.071785
615.848211,0.000000
784.759970,-0.142981
1000.000000,-0.071785
