COURSE,215,
LAB,Filters,
DATE,_12/31/1903,
,,
NAMES,Matthew Remillard,Rishabh Shah
UNIQs,mremilla,rishabas
GSI,,
,,
Frequency,Gain(dB)
10.000000,-29.645830
11.937766,-28.210835
14.251027,-26.903450
17.012543,-25.505114
20.309176,-24.051617
24.244620,-22.458892
28.942661,-21.191714
34.551073,-19.730125
41.246264,-18.183526
49.238826,-16.678130
58.780161,-15.254618
70.170383,-13.803922
83.767764,-12.150002
100.000000,-10.781155
119.377664,-9.561084
142.510267,-8.356549
170.125428,-7.107753
203.091762,-6.020600
242.446202,-5.067767
289.426612,-4.301199
345.510729,-3.465751
412.462638,-2.954790
492.388263,-2.295495
587.801607,-2.200045
701.703829,-1.859704
837.677640,-2.200045
1000.000000,-2.295495
1193.776642,-2.640782
1425.102670,-3.136700
1701.254280,-3.847514
2030.917621,-4.760710
2424.462017,-5.779310
2894.266125,-6.758525
3455.107295,-7.968288
4124.626383,-9.123966
4923.882632,-10.554220
5878.016072,-11.934623
7017.038287,-13.216246
8376.776401,-15.054933
10000.000000,-16.443362
