Frequency (Hz) - Gain,Gain (dB) - Gain
10,0
11.9378,0
14.251,-0.0687995
17.0125,-0.0687995
20.3092,-0.0687995
24.2446,-0.0687995
28.9427,-0.155572
34.5511,-0.155572
41.2463,-0.22562
49.2388,-0.140665
58.7802,-0.283646
70.1704,-0.288355
83.7678,-0.439886
100,-0.674244
119.378,-0.853765
142.51,-1.13279
170.125,-1.70022
203.092,-2.06927
242.446,-2.82339
289.427,-3.95372
345.511,-5.34233
412.463,-7.07182
492.388,-8.98342
587.802,-11.6967
701.704,-13.7347
837.678,-12.5985
1k,-9.81045
1.19378k,-7.5574
1.4251k,-5.75194
1.70125k,-4.26958
2.03092k,-3.03772
2.42446k,-2.21791
2.89427k,-1.63882
3.45511k,-1.21965
4.12463k,-0.779526
4.92388k,-0.674244
5.87802k,-0.511082
7.01704k,-0.288355
8.37678k,-0.283646
10k,-0.140665
