COURSE,215,
LAB,Filters,
DATE,_12/31/1903,
,,
NAMES,Matthew Remillard,Rishabh Shah
UNIQs,mremilla,rishabas
GSI,,
,,
Frequency,Gain(dB)
10.000000,-41.929639
14.384499,-39.136399
20.691381,-36.147617
29.763514,-33.193700
42.813324,-30.406331
61.584821,-27.302165
88.586679,-24.005994
127.427499,-20.668475
183.298071,-16.717540
263.665090,-12.416189
379.269019,-6.843548
545.559478,-0.486537
784.759970,3.636872
1128.837892,2.709097
1623.776739,1.382915
2335.721469,0.668475
3359.818286,0.283646
4832.930239,0.086773
6951.927962,0.068799
10000.000000,0.000000
