COURSE,215,
LAB,Filters,
DATE,_12/31/1903,
,,
NAMES,Matthew Remillard,Rishabh Shah
UNIQs,mremilla,rishabas
GSI,,
,,
Frequency,Gain(dB)
10.000000,0.051244
14.384499,0.000000
20.691381,0.000000
29.763514,-0.068799
42.813324,-0.068799
61.584821,0.000000
88.586679,0.086773
127.427499,0.141814
183.298071,0.293222
263.665090,0.704648
379.269019,1.526184
545.559478,2.878998
784.759970,1.289160
1128.837892,-5.364750
1623.776739,-12.825074
2335.721469,-19.622293
3359.818286,-25.877619
4832.930239,-31.599161
6951.927962,-37.129399
10000.000000,-41.760152
