COURSE,215,
LAB,Filters,
DATE,_12/1/2017,
,,
NAMES,Matthew Remillard,Rishabh Shah
UNIQs,mremillar,rishabas
GSI,,
,,
Frequency,Gain(dB)
10.000000,-11.115777
12.742750,-9.339237
16.237767,-7.614510
20.691381,-5.951112
26.366509,-4.489458
33.598183,-3.264065
42.813324,-2.254086
54.555948,-1.633401
69.519280,-1.134552
88.586679,-0.817224
112.883789,-0.515416
143.844989,-0.293222
183.298071,-0.217159
233.572147,-0.145374
297.635144,-0.145374
379.269019,-0.144167
483.293024,-0.071785
615.848211,-0.072383
784.759970,0.000000
1000.000000,-0.071785
