COURSE,215,
LAB,Filters,
DATE,_12/1/2017,
,,
NAMES,Matthew Remillard,Rishabh Shah
UNIQs,mremillar,rishabas
GSI,,
,,
Frequency,Gain(dB)
10.000000,-0.439218
12.742750,-0.658202
16.237767,-0.959042
20.691381,-1.275218
26.366509,-1.946925
33.598183,-2.964522
42.813324,-3.865329
54.555948,-5.404807
69.519280,-6.995039
88.586679,-8.675665
112.883789,-10.386379
143.844989,-12.150002
183.298071,-14.456969
233.572147,-16.276306
297.635144,-18.243901
379.269019,-20.368101
483.293024,-22.296906
615.848211,-24.442984
784.759970,-26.239584
1000.000000,-28.224109
